AngleOn™ (in/sec),XT10 (in/sec),XT16 (in/sec),Brushlon (in/sec),,,,,,,,,,,,
5.07,5.82,4.98,3.75,,,,,,,,,,,,
5.06,5.85,4.99,3.73,,,,,,,,,,,,
5.05,5.85,5.00,3.75,,,,,,,,,,,,
5.04,5.87,4.80,3.70,,,,,,,,,,,,
5.01,5.92,4.97,3.76,,,,,,,,,,,,
5.00,5.90,4.81,3.64,,,,,,,,,,,,
5.00,5.93,4.94,3.65,,,,,,,,,,,,
5.00,5.98,4.98,3.62,,,,,,,,,,,,
5.00,5.93,5.02,3.61,,,,,,,,,,,,
4.99,5.96,4.99,3.62,,,,,,,,,,,,
4.98,5.94,4.96,3.58,,,,,,,,,,,,
4.97,5.91,4.94,3.61,,,,,,,,,,,,
4.95,5.85,4.87,3.60,,,,,,,,,,,,
4.94,5.85,4.83,3.59,,,,,,,,,,,,
4.89,5.83,4.82,3.60,,,,,,,,,,,,
4.57,5.41,3.92,2.71,,,,,,,,,,,,
4.56,5.37,3.84,2.61,,,,,,,,,,,,
4.56,5.35,3.86,2.59,,,,,,,,,,,,
4.55,5.31,3.82,2.59,,,,,,,,,,,,
4.55,5.34,3.85,2.54,,,,,,,,,,,,
4.55,5.37,3.91,2.53,,,,,,,,,,,,
4.51,5.36,3.87,2.51,,,,,,,,,,,,
4.50,5.34,3.94,2.54,,,,,,,,,,,,
4.49,5.39,3.84,2.52,,,,,,,,,,,,
4.49,5.35,3.98,2.54,,,,,,,,,,,,
4.49,5.37,3.92,2.57,,,,,,,,,,,,
4.49,5.36,3.90,2.53,,,,,,,,,,,,
4.47,5.38,3.85,2.53,,,,,,,,,,,,
4.46,5.30,3.82,2.54,,,,,,,,,,,,
4.42,5.34,3.84,2.54,,,,,,,,,,,,
3.71,3.72,3.57,2.72,,,,,,,,,,,,
3.69,3.74,3.56,2.74,,,,,,,,,,,,
3.67,3.74,3.52,2.71,,,,,,,,,,,,
3.67,3.74,3.58,2.73,,,,,,,,,,,,
3.66,3.71,3.55,2.72,,,,,,,,,,,,
3.66,3.72,3.59,2.72,,,,,,,,,,,,
3.66,3.71,3.60,2.71,,,,,,,,,,,,
3.66,3.71,3.57,2.71,,,,,,,,,,,,
3.65,3.71,3.59,2.72,,,,,,,,,,,,
3.64,3.73,3.58,2.72,,,,,,,,,,,,
3.64,3.72,3.61,2.74,,,,,,,,,,,,
3.63,3.72,3.60,2.73,,,,,,,,,,,,
3.63,3.73,3.59,2.72,,,,,,,,,,,,
3.63,3.72,3.57,2.76,,,,,,,,,,,,
3.62,3.74,3.60,2.75,,,,,,,,,,,,
3.82,4.35,3.22,3.46,,,,,,,,,,,,
3.83,4.37,3.22,3.44,,,,,,,,,,,,
3.84,4.38,3.22,3.46,,,,,,,,,,,,
3.87,4.41,3.21,3.47,,,,,,,,,,,,
3.84,4.38,3.22,3.44,,,,,,,,,,,,
3.85,4.41,3.22,3.47,,,,,,,,,,,,
3.88,4.42,3.24,3.42,,,,,,,,,,,,
3.87,4.41,3.22,3.46,,,,,,,,,,,,
3.88,4.44,3.23,3.46,,,,,,,,,,,,
3.89,4.42,3.23,3.48,,,,,,,,,,,,
3.89,4.41,3.25,3.49,,,,,,,,,,,,
3.90,4.39,3.24,3.46,,,,,,,,,,,,
3.86,4.45,3.24,3.45,,,,,,,,,,,,
3.86,4.43,3.22,3.46,,,,,,,,,,,,
3.86,4.45,3.24,3.44,,,,,,,,,,,,
4.39,4.83,4.04,3.11,,,,,,,,,,,,
4.39,4.79,4.10,3.06,,,,,,,,,,,,
4.38,4.85,4.08,3.06,,,,,,,,,,,,
4.36,4.89,4.04,3.07,,,,,,,,,,,,
4.34,4.93,3.90,3.08,,,,,,,,,,,,
4.34,4.92,4.01,3.07,,,,,,,,,,,,
4.34,4.91,4.00,3.09,,,,,,,,,,,,
4.34,4.95,3.98,3.06,,,,,,,,,,,,
4.32,4.87,3.99,3.06,,,,,,,,,,,,
4.32,4.89,4.01,3.08,,,,,,,,,,,,
4.31,4.93,3.97,3.08,,,,,,,,,,,,
4.29,4.90,3.96,3.10,,,,,,,,,,,,
4.27,4.95,4.02,3.09,,,,,,,,,,,,
4.20,4.94,3.99,3.07,,,,,,,,,,,,
4.24,4.98,3.99,3.07,,,,,,,,,,,,
4.97,5.59,4.22,3.02,,,,,,,,,,,,
4.97,5.57,4.16,3.04,,,,,,,,,,,,
4.96,5.63,4.24,3.01,,,,,,,,,,,,
4.95,5.59,4.16,2.97,,,,,,,,,,,,
4.95,5.63,4.24,2.97,,,,,,,,,,,,
4.95,5.59,4.20,2.99,,,,,,,,,,,,
4.94,5.66,4.20,3.00,,,,,,,,,,,,
4.94,5.63,4.17,2.99,,,,,,,,,,,,
4.93,5.68,4.15,2.97,,,,,,,,,,,,
4.93,5.69,4.18,3.03,,,,,,,,,,,,
4.93,5.68,4.15,3.01,,,,,,,,,,,,
4.90,5.70,4.12,3.03,,,,,,,,,,,,
4.90,5.77,4.13,3.03,,,,,,,,,,,,
4.88,5.68,4.10,3.00,,,,,,,,,,,,
4.87,5.67,4.14,3.03,,,,,,,,,,,,
4.87,5.71,4.14,3.01,,,,,,,,,,,,
,,,,,,,,,,,,,,,
