Ambient,Empty Feeder,Full Feeder,AngleOn™,XT10,XT16,Competitor
67.2,72.7,84.5,73.2,73.6,74.2,72.7
67.4,72.6,87.0,73.6,74.7,74.5,73.1
67.8,72.2,86.6,73.7,73.6,75.2,72.4
67.9,72.5,83.9,73.8,74.6,74.4,72.7
68.1,72.4,86.4,73.6,74.4,75.3,72.9
67.8,72.0,82.9,73.5,73.9,74.9,73.1
68.6,72.3,89.0,73.4,74.6,74.6,72.9
67.9,72.1,84.7,73.9,73.6,75.3,73.1
68.3,72.5,87.3,73.6,73.7,74.2,72.9
67.4,72.1,87.3,73.6,74.5,74.6,73.1
67.9,72.1,87.5,73.5,74.4,74.9,73.0
67.6,72.8,85.4,73.9,74.9,74.6,72.6
68.0,72.3,85.8,73.5,74.8,74.7,73.2
67.8,72.7,90.8,73.6,74.4,75.2,72.7
67.5,72.7,85.3,73.7,73.9,74.9,72.9
67.6,72.3,88.2,73.5,74.2,73.7,72.5
68.2,71.5,86.1,73.6,74.8,75.6,72.9
67.8,72.4,89.6,73.8,74.3,75.4,72.9
67.8,72.3,86.8,73.1,74.0,75.5,73.0
67.3,72.3,86.1,73.6,75.0,75.3,72.7
67.0,72.5,85.1,73.1,73.9,74.7,72.6
68.3,72.4,84.9,73.4,74.2,74.9,72.7
67.9,71.9,89.3,73.8,74.1,74.7,72.8
67.8,72.5,82.5,72.6,75.0,74.7,72.9
67.4,72.6,85.4,73.8,74.3,74.8,72.6
67.3,72.1,87.2,73.6,75.0,74.1,72.8
67.4,72.0,87.2,73.1,74.5,75.4,73.6
67.4,72.5,87.1,74.0,74.3,75.1,72.7
67.3,72.9,82.8,73.6,74.2,74.1,72.7
67.8,72.3,87.9,73.6,74.8,74.4,72.7
67.8,72.1,87.6,73.9,74.3,75.1,73.1
67.3,72.3,88.8,74.2,75.0,74.6,72.8
67.9,72.6,84.3,73.6,74.6,74.3,73.1
67.5,72.4,85.9,74.2,74.8,75.5,73.0
67.6,72.9,85.1,73.4,74.5,75.4,73.1
67.5,72.6,88.4,73.6,74.9,74.2,72.6
67.4,72.8,82.1,74.2,74.6,75.3,72.7
67.7,72.0,86.9,73.7,74.8,74.6,73.3
68.2,72.7,88.0,73.8,74.1,74.6,72.8
67.7,72.5,85.7,73.6,74.1,74.8,73.0
67.7,72.4,85.4,74.0,74.2,75.1,73.0
68.6,72.8,86.2,72.9,74.7,74.6,72.5
68.0,72.2,83.7,73.4,74.6,75.0,72.5
67.5,72.5,85.3,73.7,74.9,74.8,72.6
67.2,72.4,86.4,73.7,74.8,75.4,72.7
67.7,72.4,86.3,73.8,75.0,75.6,72.5
67.8,72.7,86.6,73.1,74.9,75.3,72.8
68.4,71.4,88.1,73.7,74.2,74.7,73.1
67.7,72.3,89.5,73.6,74.4,75.4,72.5
67.1,72.4,82.5,73.8,74.3,75.1,72.7
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
